,City,Price,Bedroom,Bathroom,Face,Road,Amenities,Unit,New_Area,Road_Width,Number of Amenities
1452,Lalitpur,19500000,6,5,South,14 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,14,6
1453,Lalitpur,97500000,3,0,East,20 Feet / Soil Stabilized,"[""'Lawn'"", "" 'Garage'"", "" 'Backyard'"", "" 'Frontyard'"", "" 'Modular Kitchen'"", "" 'Drainage'"", "" 'Water Tank'""]",Aana,24.0,20,7
1454,Kathmandu,38000000,7,4,East,14 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,6.1,14,5
1455,Lalitpur,125000,4,6,South,14 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,16.0,14,6
1457,Kathmandu,4500000,0,0,South East,8 Meter,[''],Aana,4.0,8,1
1458,Kathmandu,210000,0,0,South,20 Feet,"[""'Drainage'"", "" 'Water Supply'""]",Aana,4.0,20,2
1459,Kathmandu,29500000,4,3,South East,20 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,7.0,20,6
1460,Lalitpur,4500000,0,0,North,10 Feet,[''],Aana,3.5,10,1
1461,Kathmandu,14000000,6,0,North,12 Feet / Soil Stabilized,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,12,6
1464,Lalitpur,185000,5,5,East,14 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,23.0,14,9
1465,Kathmandu,43500000,0,0,West,20 Feet,"[""'Drainage'"", "" 'Water Supply'""]",Aana,3.85,20,2
1466,Lalitpur,2800000,0,0,South,20 Feet,[''],Aana,7.1,20,1
1467,Lalitpur,300000,17,5,West,14 Feet,"[""'Balcony'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Ropani,16.0,14,5
1468,Lalitpur,200000,5,4,South East,20 Feet,"[""'Balcony'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,4.0,20,6
1471,Lalitpur,120000,5,3,South East,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,8.0,13,5
1472,Lalitpur,29500000,3,2,West,18 Feet / Blacktopped,"[""'Lawn'"", "" 'Backyard'"", "" 'Balcony'"", "" 'Frontyard'"", "" 'Gym'"", "" 'Garden'"", "" 'Microwave'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Modular Kitchen'"", "" 'Swimming Pool'"", "" 'TV Cable'"", "" 'Washing Machine'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,6.0,18,16
1474,Bhaktapur,22500000,12,4,South East,20 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,20,5
1475,Lalitpur,1600000,0,0,North,20 Feet,[''],Aana,16.0,20,1
1480,Kathmandu,18000000,3,4,South,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.5,13,5
1481,Kathmandu,34500000,9,4,East,12 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,6.3,12,6
1482,Kathmandu,72500000,7,6,South West,20 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,14.0,20,6
1483,Kathmandu,11500000,2,1,North,13 Feet / Gravelled,"[""'TV Cable'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.0,13,3
1484,Kathmandu,27500000,9,7,North,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.0,13,5
1486,Kathmandu,3500000,0,0,East,12 Feet,[''],Aana,4.0,12,1
1489,Kathmandu,170000000,0,0,North,20 Feet,[''],Aana,19.0,20,1
1494,Kathmandu,2650000,0,0,South West,10 Feet / Gravelled,[''],Aana,9.5,10,1
1495,Kathmandu,6200000,0,0,North,20 Feet / Blacktopped,[''],Aana,7.0,20,1
1496,Kathmandu,37500000,2,3,North,14 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.0,14,6
1497,Kathmandu,3800000,0,0,South,15 Feet / Gravelled,[''],Aana,12.0,15,1
1504,Bhaktapur,2400000,0,0,South,18 Feet,[''],Aana,7.0,18,1
1506,Kathmandu,17500000,0,0,West,16 Feet,[''],Aana,4.0,16,1
1507,Kathmandu,37500000,0,0,South,20 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,6.0,20,5
1513,Kathmandu,1500000,0,0,North,20 Feet / Blacktopped,[''],Ropani,64.0,20,1
1514,Bhaktapur,25000000,2,1,East,13 Feet / Gravelled,[''],Aana,7.0,13,1
1515,Kathmandu,18000000,0,0,South,13 Feet,[''],Aana,3.0,13,1
1517,Bhaktapur,2000000,0,0,East,15 Feet / Soil Stabilized,[''],Aana,4.5,15,1
